Character,Probability,Code
 ,115809/770605,000
о,68371/770605,001
е,52013/770605,0100
а,46407/770605,0101
и,41335/770605,0110
т,37224/770605,01110
н,36638/770605,01111
с,30569/770605,1000
в,27611/770605,10010
л,27178/770605,10011
р,25155/770605,10100
к,24634/770605,10101
д,18562/770605,10110
у,18304/770605,101110
",",17778/770605,101111
м,17723/770605,11000
п,15876/770605,110010
ь,12767/770605,110011
б,11532/770605,110100
ы,11529/770605,110101
я,11463/770605,110110
ч,10589/770605,110111
г,10519/770605,111000
з,10083/770605,111001
ж,6738/770605,1110100
й,6431/770605,1110101
ш,5808/770605,1110110
.,5804/770605,1110111
х,5794/770605,1111000
"
",4777/770605,1111001
—,3792/770605,11110100
ю,3644/770605,11110101
 ,3303/770605,11110110
ц,1967/770605,11110111
щ,1806/770605,111110000
!,1404/770605,111110001
-,1396/770605,111110010
:,1237/770605,111110011
П,1207/770605,111110100
э,1149/770605,111110101
Н,1140/770605,111110110
Ч,996/770605,1111101110
В,992/770605,1111101111
?,892/770605,1111110000
;,822/770605,1111110001
ф,649/770605,1111110010
К,640/770605,1111110011
С,635/770605,1111110100
«,591/770605,1111110101
»,591/770605,1111110110
И,542/770605,11111101110
Д,539/770605,11111101111
А,539/770605,1111111000
О,460/770605,11111110010
Т,445/770605,11111110011
М,429/770605,11111110100
…,330/770605,11111110101
З,231/770605,11111110110
Г,220/770605,111111101110
Э,218/770605,111111101111
ъ,205/770605,111111110000
Я,190/770605,111111110001
У,175/770605,111111110010
Б,163/770605,111111110011
Р,162/770605,111111110100
Е,154/770605,111111110101
Х,152/770605,111111110110
<,118/770605,1111111101110
>,118/770605,1111111101111
Ф,104/770605,1111111110000
ё,81/770605,1111111110001
Л,68/770605,1111111110010
),68/770605,1111111110011
(,66/770605,1111111110100
„,59/770605,11111111101010
“,59/770605,11111111101011
[,53/770605,1111111110110
],53/770605,11111111101110
1,48/770605,11111111101111
3,41/770605,11111111110000
2,40/770605,11111111110001
4,40/770605,11111111110010
6,31/770605,11111111110011
Ж,31/770605,11111111110100
o,29/770605,111111111101010
e,28/770605,111111111101011
7,26/770605,111111111101100
9,24/770605,111111111101101
Ш,22/770605,111111111101110
r,22/770605,111111111101111
8,22/770605,111111111110000
t,22/770605,111111111110001
l,22/770605,111111111110010
5,21/770605,111111111110011
&,20/770605,111111111110100
#,20/770605,111111111110101
m,19/770605,111111111110110
i,17/770605,1111111111101110
N,14/770605,1111111111101111
a,13/770605,1111111111110000
Ц,11/770605,1111111111110001
u,11/770605,1111111111110010
h,11/770605,1111111111110011
/,11/770605,1111111111110100
n,10/770605,1111111111110101
0,10/770605,1111111111110110
s,9/770605,1111111111110111
p,9/770605,1111111111111000
c,9/770605,1111111111111001
*,9/770605,1111111111111010
	,8/770605,11111111111110110
g,7/770605,11111111111110111
Щ,6/770605,11111111111111000
Ю,6/770605,11111111111111001
b,6/770605,11111111111111010
y,6/770605,11111111111111011
d,3/770605,111111111111111000
_,3/770605,111111111111111001
Й,2/770605,111111111111111010
f,2/770605,111111111111111011
q,2/770605,111111111111111100
’,2/770605,111111111111111101
k,2/770605,111111111111111110
Ы,1/770605,1111111111111111110
R,1/770605,11111111111111111110
v,1/770605,11111111111111111111
