Character,Frequency,Probability
 ,115809,115809/770605
о,68371,68371/770605
е,52013,52013/770605
а,46407,46407/770605
и,41335,41335/770605
т,37224,37224/770605
н,36638,36638/770605
с,30569,30569/770605
в,27611,27611/770605
л,27178,27178/770605
р,25155,25155/770605
к,24634,24634/770605
д,18562,18562/770605
у,18304,18304/770605
",",17778,17778/770605
м,17723,17723/770605
п,15876,15876/770605
ь,12767,12767/770605
б,11532,11532/770605
ы,11529,11529/770605
я,11463,11463/770605
ч,10589,10589/770605
г,10519,10519/770605
з,10083,10083/770605
ж,6738,6738/770605
й,6431,6431/770605
ш,5808,5808/770605
.,5804,5804/770605
х,5794,5794/770605
"
",4777,4777/770605
—,3792,3792/770605
ю,3644,3644/770605
 ,3303,3303/770605
ц,1967,1967/770605
щ,1806,1806/770605
!,1404,1404/770605
-,1396,1396/770605
:,1237,1237/770605
П,1207,1207/770605
э,1149,1149/770605
Н,1140,1140/770605
Ч,996,996/770605
В,992,992/770605
?,892,892/770605
;,822,822/770605
ф,649,649/770605
К,640,640/770605
С,635,635/770605
«,591,591/770605
»,591,591/770605
И,542,542/770605
Д,539,539/770605
А,539,539/770605
О,460,460/770605
Т,445,445/770605
М,429,429/770605
…,330,330/770605
З,231,231/770605
Г,220,220/770605
Э,218,218/770605
ъ,205,205/770605
Я,190,190/770605
У,175,175/770605
Б,163,163/770605
Р,162,162/770605
Е,154,154/770605
Х,152,152/770605
<,118,118/770605
>,118,118/770605
Ф,104,104/770605
ё,81,81/770605
Л,68,68/770605
),68,68/770605
(,66,66/770605
„,59,59/770605
“,59,59/770605
[,53,53/770605
],53,53/770605
1,48,48/770605
3,41,41/770605
2,40,40/770605
4,40,40/770605
6,31,31/770605
Ж,31,31/770605
o,29,29/770605
e,28,28/770605
7,26,26/770605
9,24,24/770605
Ш,22,22/770605
r,22,22/770605
8,22,22/770605
t,22,22/770605
l,22,22/770605
5,21,21/770605
&,20,20/770605
#,20,20/770605
m,19,19/770605
i,17,17/770605
N,14,14/770605
a,13,13/770605
Ц,11,11/770605
u,11,11/770605
h,11,11/770605
/,11,11/770605
n,10,10/770605
0,10,10/770605
s,9,9/770605
p,9,9/770605
c,9,9/770605
*,9,9/770605
	,8,8/770605
g,7,7/770605
Щ,6,6/770605
Ю,6,6/770605
b,6,6/770605
y,6,6/770605
d,3,3/770605
_,3,3/770605
Й,2,2/770605
f,2,2/770605
q,2,2/770605
’,2,2/770605
k,2,2/770605
Ы,1,1/770605
R,1,1/770605
v,1,1/770605
